Sample in Buffer,Sample in Window,TRIGGER,dbg_txdata[31:0],dbg_txdatak[3:0],debug_state[20:0],dbg_rxstatus[2:0],dbg_rxdata[31:0],dbg_rxdatak[3:0],pcie_phy_top_inst/pcie_ltssm_downstream_inst/ordered_set_sent_cnt_r[15:0],pcie_phy_top_inst/pcie_ltssm_downstream_inst/gen_cnt_ts1[0].ts1_cnt[7:0],pcie_phy_top_inst/phy_receive_inst/gen_lane_descramble[0].ordered_set_handler_inst/curr_state[7:0],pipe_wrapper_i/rxvalid_cnt[4:0],dbg_phystatus,dbg_rxelecidle,dbg_txdetectrx,dbg_txelecidle,pipe_wrapper_i/gt_rxvalid,pcie_phy_top_inst/pcie_ltssm_downstream_inst/link_idle_satisfied,link_up,pipe_wrapper_i/rst_idle_reg,pcie_phy_top_inst/pcie_ltssm_downstream_inst/single_idle_received,pcie_phy_top_inst/ordered_set_tranmitted
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
10269,10269,0,0000fff7,1,000042,0,00004a4a,0,423a,00,01,10,0,0,0,0,1,0,0,1,0,0
10270,10270,0,00000002,0,000042,0,0000bc4a,2,423a,00,01,10,0,0,0,0,1,0,0,1,0,0
10271,10271,0,00004545,0,000042,0,0000f7f7,3,423a,00,01,10,0,0,0,0,1,0,0,1,0,1
10272,10272,0,00004545,0,000042,0,00005eff,0,423b,00,01,10,0,0,0,0,1,0,0,1,0,0
10273,10273,0,00004545,0,000042,0,00004a00,0,423b,00,01,10,0,0,0,0,1,0,0,1,0,0
10274,10274,0,00004545,0,000042,0,00004a4a,0,423b,00,01,10,0,0,0,0,1,0,0,1,0,0
10275,10275,0,00004545,0,000042,0,00004a4a,0,423b,00,01,10,0,0,0,0,1,0,0,1,0,0
10276,10276,0,0000f7bc,3,000042,0,00004a4a,0,423b,00,01,10,0,0,0,0,1,0,0,1,0,0
10277,10277,0,0000fff7,1,000042,0,00004a4a,0,423b,00,01,10,0,0,0,0,1,0,0,1,0,0
10278,10278,0,00000002,0,000042,0,0000bc4a,2,423b,00,01,10,0,0,0,0,1,0,0,1,0,0
10279,10279,0,00004545,0,000042,0,0000f7f7,3,423b,00,01,10,0,0,0,0,1,0,0,1,0,1
10280,10280,0,00004545,0,000042,0,00005eff,0,423c,00,01,10,0,0,0,0,1,0,0,1,0,0
10281,10281,0,00004545,0,000042,0,00004a00,0,423c,00,01,10,0,0,0,0,1,0,0,1,0,0
10282,10282,0,00004545,0,000042,0,00004a4a,0,423c,00,01,10,0,0,0,0,1,0,0,1,0,0
10283,10283,0,00004545,0,000042,0,00004a4a,0,423c,00,01,10,0,0,0,0,1,0,0,1,0,0
10284,10284,0,0000f7bc,3,000042,0,00004a4a,0,423c,00,01,10,0,0,0,0,1,0,0,1,0,0
10285,10285,0,0000fff7,1,000042,0,00004a4a,0,423c,00,01,10,0,0,0,0,1,0,0,1,0,0
10286,10286,0,00000002,0,000042,0,0000bc4a,2,423c,00,01,10,0,0,0,0,1,0,0,1,0,0
10287,10287,0,00004545,0,000042,0,0000f7f7,3,423c,00,01,10,0,0,0,0,1,0,0,1,0,1
10288,10288,0,00004545,0,000042,0,00005eff,0,423d,00,01,10,0,0,0,0,1,0,0,1,0,0
10289,10289,0,00004545,0,000042,0,00004a00,0,423d,00,01,10,0,0,0,0,1,0,0,1,0,0
10290,10290,0,00004545,0,000042,0,00004a4a,0,423d,00,01,10,0,0,0,0,1,0,0,1,0,0
